news_body,news_source,news_thread,news_time,news_title,news_url,source_url
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：习近平在江泽民同志追悼大会上致悼词）
                    ,
	,
	,
						,
						,
					,12月6日上午10时，党中央、全国人大常委会、国务院、全国政协、中央军委在北京人民大会堂隆重举行江泽民同志追悼大会。,习近平在江泽民同志追悼大会上致悼词。",央视新闻客户端,HNTGQKEI000189FH.html?clickfrom,2022-12-06 12:52:22,习近平在江泽民同志追悼大会上致悼词,https://www.163.com/news/article/HNTGQKEI000189FH.html?clickfrom=w_yw,https://content-static.cctvnews.cctv.com/snow-book/index.html?item_id=14696331977324846705&toc_style_id=feeds_default&share_to=wechat&track_id=ff0ef4dc-3787-4ae3-a2b1-99a71cdaaa99
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：细化防控要求 将对民众生活的影响降到最低）
                    ,当前主要流行毒株BF.7传播力强、隐匿性强，对此绝不可以掉以轻心。全国多地之所以在最近一段时间不断优化防控政策，都是基于当地整体疫情态势稳中趋缓所作出的科学判断，并根据中央疫情防控有关精神，精准分区分级分类优化疫情防控措施，在努力遏制疫情传播的同时，尽可能地将对民众生活的影响降到最低。这些优化后的防控措施，都十分具体且有针对性，所解决的均是事关民众日常生活中所常遇到的问题。,基于对奥密克戎毒株的精准科学认识，当前疫情防控政策正不断调整，秉持着“走小步、不停步”的理念，向着为广大民众身体健康着想的方向努力优化。这些细化修改过后的新措施新政策上线施行以来，获得了很多民众的认可。“疫情要防住、经济要稳住、发展要安全”，精准防控政策让广大市场主体收获了暖意。不少地方还持续推出优待政策，对商户暂停营业期间的租金、管理费实行减免政策，与广大商户共克时艰，为的就是进一步加大复工复产复市力度，让广大民众能够感受到熙熙攘攘的热闹氛围。许多地区重新恢复了往日的生活烟火气，为当地经济社会发展增添了活力。,短时间内，我们仍将处于疫情常态化防控之中。病毒要防，经济社会也要发展，生产生活秩序必须重回正轨。特别是在国家多次明确防疫政策不得“层层加码”时，个别地方仍旧存在过度防疫的举动，严重影响了当地民众的正常生活。这就意味着，当前疫情防控必须尊重科学、愈加精准，防控要求必须细化具体，便于民众理解，同时也要有利于后续政策开展落实和执行。尤其重要的是，相关防控政策必须充分考虑是否会给民众生产生活带来不便，全力做好生产生活服务保障，及时解决群众急难愁盼问题。,（作者：珠定，系媒体评论员）",光明日报,HNT54IG8000189FH.html?clickfrom,2022-12-06 09:28:05,细化防控要求 将对民众生活的影响降到最低,https://www.163.com/news/article/HNT54IG8000189FH.html?clickfrom=w_yw,https://app.gmdaily.cn/as/opened/n/303218b67bf44036809322c6f2327f03
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：多国领导人赴我驻外使馆悼念江泽民同志逝世）
                    ,
	,
	,
						,
						,
					,近日多国领导人赴我驻外使馆，对江泽民同志逝世表示深切哀悼。,老挝人民革命党中央总书记、国家主席通伦·西苏里和老挝政府总理潘坎·维帕万到中国驻老挝使馆吊唁，表示江泽民同志为中国特色社会主义伟大事业作出卓著贡献，为新世纪老中关系发展发挥重要引领作用。,毛里求斯总统鲁蓬夫妇、总理贾格纳特分别到中国驻毛里求斯使馆吊唁。,格林纳达总督拉格雷纳德到中国驻格林纳达使馆吊唁。,尼加拉瓜总统奥尔特加和副总统穆里略委派议长波拉斯、外长蒙卡达，对华合作牵头人劳雷亚诺到中国驻尼加拉瓜使馆集体吊唁。,多米尼克总理斯凯里特夫妇到中国驻多米尼克使馆吊唁。",央视新闻客户端,HNTGSAN8000189FH.html?clickfrom,2022-12-06 12:53:18,多国领导人赴我驻外使馆悼念江泽民同志逝世,https://www.163.com/news/article/HNTGSAN8000189FH.html?clickfrom=w_yw,https://content-static.cctvnews.cctv.com/snow-book/index.html?item_id=6307524683536192562&toc_style_id=feeds_default&share_to=wechat&track_id=72150e5f-ba7b-467b-8ada-ce343e08dccf
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：[朝闻天下]权威解读 奥密克戎感染跟流感症状非常相似）
                    ,
	,
	,
						,
						,
					,权威解读：奥密克戎感染跟流感症状非常相似。",央视影音,HNTBR5G4000189FH.html?clickfrom,2022-12-06 11:25:17,[朝闻天下]权威解读 奥密克戎感染跟流感症状非常相似,https://www.163.com/news/article/HNTBR5G4000189FH.html?clickfrom=w_yw,https://app.cctv.com/special/m/livevod/index.html?guid=bb0b7f62c46b432eb4be3ed0cb8f0e09&vtype=2&vsetId=C10598
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：江泽民同志追悼大会举行 全体默哀）
                    ,
	,
	,
						,
						,
					,12月6日上午10时，党中央、全国人大常委会、国务院、全国政协、中央军委在北京人民大会堂隆重举行江泽民同志追悼大会。",央视新闻客户端,HNTAHK6F000189FH.html?clickfrom,2022-12-06 11:02:36,江泽民同志追悼大会举行 全体默哀,https://www.163.com/news/article/HNTAHK6F000189FH.html?clickfrom=w_yw,https://content-static.cctvnews.cctv.com/snow-book/index.html?t=1670292897643&toc_style_id=feeds_default&share_to=copy_url&track_id=88D937C2-FF79-41A1-A879-EFE0D604D718_691986068706&item_id=323116286616359398
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：[朝闻天下]权威解读 重症病例比例低 多表现为基础病加重）
                    ,
	,
	,
						,
						,
					,权威解读：重症病例比例低，多表现为基础病加重。",央视影音,HNTBS8IO000189FH.html?clickfrom,2022-12-06 11:25:53,[朝闻天下]权威解读 重症病例比例低 多表现为基础病加重,https://www.163.com/news/article/HNTBS8IO000189FH.html?clickfrom=w_yw,https://app.cctv.com/special/m/livevod/index.html?guid=ea73f8fd9bf54c3ebc9e360ddcdcd336&vtype=2&vsetId=C10598
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：[朝闻天下]权威解读 奥密克戎变异株毒力明显减弱）
                    ,
	,
	,
						,
						,
					,权威解读：奥密克戎变异株毒力明显减弱。",央视影音,HNTBQ18T000189FH.html?clickfrom,2022-12-06 11:24:40,[朝闻天下]权威解读 奥密克戎变异株毒力明显减弱,https://www.163.com/news/article/HNTBQ18T000189FH.html?clickfrom=w_yw,https://app.cctv.com/special/m/livevod/index.html?guid=f63904ba4aa5432ab5f11b1d2227626d&vtype=2&vsetId=C10598
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：谱写新时代人与自然和谐共生新华章）
                    ,习近平总书记在党的二十大报告中指出，中国式现代化是人与自然和谐共生的现代化。尊重自然、顺应自然、保护自然，是全面建设社会主义现代化国家的内在要求。党的十八大以来，以习近平同志为核心的党中央大力推进生态文明建设，积极探索人与自然和谐共生之路，系统形成习近平生态文明思想，进一步丰富和拓展了现代化的内涵与外延，不断丰富和发展了人类文明新形态。我们要深入学习领会，坚持好、运用好贯穿其中的马克思主义立场观点方法，奋力谱写新时代人与自然和谐共生新华章。,生态文明建设取得历史性成就,在实践基础上创立的习近平生态文明思想，为实现人与自然和谐共生的现代化提供了科学指引和根本遵循。在习近平生态文明思想的科学引领下，我们攻克了生态环境领域许多长期没有解决的难题，办成了许多事关长远的大事要事，美丽中国建设迈出重大步伐，创造了举世瞩目的生态奇迹和绿色发展奇迹。,过去十年，我国以年均3%的能源消费增速支撑了平均6.6%的经济增长；全国地级及以上城市细颗粒物（PM_2.5）年均值由2015年的46微克/立方米降至2021年的30微克/立方米，成为全球大气质量改善速度最快的国家；全国地表水优良断面比例达84.9%，接近发达国家水平；土壤污染风险得到有效管控，全面禁止洋垃圾入境，实现固体废物“零进口”目标。我国生态文明制度体系更加健全，污染防治攻坚向纵深推进，绿色、循环、低碳发展迈出坚实步伐，生态环境保护发生历史性、转折性、全局性变化。我们的祖国天更蓝、山更绿、水更清，人民群众生态环境获得感幸福感安全感持续增强。我国生态环境保护成就得到国际社会广泛认可，成为全球生态文明建设的重要参与者、贡献者、引领者。这些巨大成就，是新时代加快推进人与自然和谐共生的现代化的信心和力量之源。实践表明，只要坚持党的全面领导，坚持以习近平生态文明思想为指引，人与自然和谐共生的现代化必然能够实现。,科学研判当前形势,科学判断形势是我们党制定正确路线、方针、政策的基础，也是我国革命、建设和改革成功的宝贵经验。生态环境修复和改善，是一个需要付出长期艰苦努力的过程，不可能一蹴而就，必须坚持不懈、奋发有为。党的二十大报告在充分肯定党和国家事业取得举世瞩目成就的同时，也明确指出我们的工作还面临不少困难和问题，要求我们清醒看到“生态环境保护任务依然艰巨”。,习近平总书记强调，中国式现代化既有各国现代化的共同特征，更有基于自己国情的中国特色。其中之一就是我国现代化是人与自然和谐共生的现代化，注重同步推进物质文明建设和生态文明建设。促进人与自然和谐共生，是以习近平同志为核心的党中央对中国特色社会主义生态文明建设认识的新突破，是在更高层次上创造人类文明新形态的必然趋势。,建设生态文明是一场持久战，绝不是轻轻松松、敲锣打鼓就能实现的。习近平总书记指出，当前，我国生态文明建设仍然面临诸多矛盾和挑战，生态环境稳中向好的基础还不稳固，从量变到质变的拐点还没有到来，生态环境质量同人民群众对美好生活的期盼相比，同建设美丽中国的目标相比，同构建新发展格局、推动高质量发展、全面建设社会主义现代化国家的要求相比，都还有较大差距。从国内看，产业结构调整有一个过程，传统产业所占比重依然较高，战略性新兴产业、高技术产业尚未成长为经济增长的主导力量，能源结构没有得到根本性改变，重点区域、重点行业污染问题没有得到根本解决，实现碳达峰、碳中和任务艰巨，资源环境对发展的压力越来越大。从国际看，绿色经济已经成为全球产业竞争制高点，一些西方国家对我国大打“环境牌”，多方面对我国施压，围绕生态环境问题的大国博弈十分激烈。新征程上，我们要始终保持战略定力，保持“日拱一卒”的韧劲，坚定“滴水穿石”的执着，持之以恒推进生态文明建设。,建设人与自然和谐共生的现代化,党的二十大报告在充分肯定过去五年和新时代十年我国生态文明建设成就的基础上，深刻阐明中国式现代化是人与自然和谐共生的现代化，对推动绿色发展、促进人与自然和谐共生作出重大安排部署，为推进美丽中国建设指明了前进方向。面对新的形势任务，习近平总书记强调，统筹产业结构调整、污染治理、生态保护、应对气候变化，协同推进降碳、减污、扩绿、增长。我们要不断深化对人与自然和谐共生的规律性认识，坚持节约优先、保护优先、自然恢复为主的方针，努力建设人与自然和谐共生的现代化。,新使命呼唤新担当。奋力谱写新时代人与自然和谐共生新华章，必须完整、准确、全面贯彻新发展理念，加快发展方式绿色转型，加快推动产业结构、能源结构、交通运输结构等调整优化，实施全面节约战略，发展绿色低碳产业，推动形成绿色低碳的生产方式和生活方式。深入推进环境污染防治，坚持精准治污、科学治污、依法治污，保持力度、延伸深度、拓宽广度，以更高标准打好蓝天、碧水、净土保卫战，集中攻克老百姓身边的突出生态环境问题。提升生态系统多样性、稳定性、持续性，坚持山水林田湖草沙一体化保护和系统治理，加快实施重要生态系统保护和修复重大工程，实施生物多样性保护重大工程，建立生态产品价值实现机制。积极稳妥推进碳达峰碳中和，认真落实碳达峰、碳中和“1＋N”政策体系，深入推进能源革命，推动能源清洁低碳高效利用，健全碳排放权市场交易制度，积极参与应对气候变化全球治理。",经济日报,HNT5BUL1000189FH.html?clickfrom,2022-12-06 09:32:07,谱写新时代人与自然和谐共生新华章,https://www.163.com/news/article/HNT5BUL1000189FH.html?clickfrom=w_yw,https://proapi.jingjiribao.cn/readnews.html?id=278186
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：聚才到边疆 奋斗建功业）
                    ,初冬，中国与哈萨克斯坦边界上的新疆霍尔果斯市天地成一色，白雪满墙。在苍苍茫茫散落的玉尘间，这座隋唐时便是古代丝绸之路上重要驿站的小城，如春风吹拂，到处都洋溢着干事创业的勃勃生机。,机关办公楼前，霍尔果斯市科技局党组书记、局长张淼刚刚走出大门，便紧了紧大衣的领口，准备前往工业园区调研了解企业创新发展需求。“创新驱动，政策先行，我们就是企业的‘店小二’。”张淼边走边为记者介绍，“霍尔果斯正积极抢抓‘一带一路’发展机遇，没有好的营商环境，就不能让科技真正成为经济高质量发展的支撑。”,作为一名土生土长的浙江杭州人，张淼本是浙江财经大学创业学院副院长，参加柔性援疆工作期间，深深爱上了祖国西北边疆的土地，最终主动放弃了江南水乡的优裕生活，通过伊犁州“伊犁英才”高层次紧缺人才引进计划，选择来到霍尔果斯任职。不到一年的时间里，他已带领当地创建国家高新技术企业11家、组织申报科技计划项目40个。,栽下梧桐树，引得凤凰来。受益于霍尔果斯市“努力营造人才发展良好环境，推动人才队伍建设”方针，小小口岸集聚起了诸多爱国奉献的各方面优秀人才。“我们公司刚起步，加入大学生创业园，政府为我们提供场地，水、电、暖等费用都有减免。我们真是来对了创业的好地方！”已经入驻大学生创业园的霍尔果斯市中郎文化传媒有限公司负责人王隆说。,“党的二十大报告指出‘深入实施人才强国战略’‘坚持尊重劳动、尊重知识、尊重人才、尊重创造’‘把各方面优秀人才集聚到党和人民事业中来’。”霍尔果斯经济开发区党工委委员、市委副书记、组织部部长李兆刚说，“人才，是经济高质量发展最重要的‘引擎’，张淼同志正是援疆奉献者的一个缩影。建设好边疆，需要我们打造更好引才聚才‘磁力场’、搭建育才用才‘主阵地’、构筑重才留才‘生态圈’，才能吸引更多优秀人才扎根边疆、奉献边疆。我们不仅要为有真才实学的人提供舞台，也要让霍尔果斯成为‘人人皆可成才’的土地。”,在各类援疆人才中，医疗队伍始终是最为特殊的存在，他们用专业护佑生命，用真情温暖患者，始终为人民群众的安全与健康倾情奉献。,“尽管来之前做了充分思想准备和前期调研，但是现实情况还是远远超乎想象。霍尔果斯气候干燥，睡觉起来会流鼻血，我总会在夜深时思念远在家乡的爱人和孩子。”来自江苏省连云港市的霍尔果斯人民医院副院长李伟湿润了眼眶，“个人的苦是小事，群众的困难才是我们心头的大事。”,由于霍尔果斯周边牧区人民群众的饮食习惯中，肉类及咸盐奶茶比例很大，导致高血压、糖尿病和胆囊结石等发病率较高，加上交通不便且缺乏基本卫生健康常识，往往在病情严重时才被动就医。,为了方便群众，李伟带领的援疆医疗专家团队持续开展农牧民义诊服务累计1000余人次。最远的一次，团队迎风踏雪，在悬崖边的泥泞小路上驱车3个多小时，为护边执勤点和边远牧区义诊。莫乎尔片区甲郎阿西定居点的牧民沙里山别克·介克山拜克是受益者之一，他的儿子和女儿均患有进行性四肢无力，儿子瘫痪在床、女儿出行艰难。得知情况，医疗团队第一时间在线上与连云港第一人民医院远程会诊，通过结合线下治疗、定期为患病孩子随诊，同时组织捐款并免除他们相关医疗费用，不仅让孩子病情有所缓解，也为沙里山别克减轻了极大经济负担。,“这是罕见的遗传性疾病，多亏了党和政府的关怀帮助，为我的孩子打开了新生的大门，我们全家也有了光明的未来。”沙里山别克握着医生的手，激动得热泪盈眶。,在日常工作中，援疆医疗专家团队还把“传帮带”作为工作的重要内容，努力培养一支留得下、干得好的医疗人才队伍。外科医生胡亚辉是李伟的“传帮带”徒弟之一，在李伟毫无保留的培养下，如今已经能在外科手术中独当一面。,“新疆与内地医疗水平有方方面面的差距，但人才是最重要的一个。既输血又造血、既管当前又谋长远，我院现在门诊数量增加2000余人次、住院病人增加近500余人次，扎扎实实地提升了霍尔果斯各族群众的幸福感和满意度。”胡亚辉说。",光明日报,HNT5A5SM000189FH.html?clickfrom,2022-12-06 09:31:09,聚才到边疆 奋斗建功业,https://www.163.com/news/article/HNT5A5SM000189FH.html?clickfrom=w_yw,https://app.gmdaily.cn/as/opened/n/1eec6e62bc0245bc97dc5fb4ff7416e8
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：江西多措并举—— 努力做到生产防疫两不误（高效统筹疫情防控和经济社会发展））
                    ,本报南昌12月5日电 （记者郑少忠、周欢）机器轰鸣、车辆穿梭，在江西省景德镇市高新区智慧（数字经济）产业园，工人正紧张施工，一片火热景象。“本轮疫情发生以来，项目部实行闭环式管理，生产防疫两不误，有效保障了项目进度。”景德镇国新建设工程有限公司项目部负责人程国柱介绍，目前项目已完成90%，预计年底完工。,建立“一企一人”挂点联络制度，开展跟踪服务，及时了解企业生产经营情况；全力做好防控物资保障供应，确保物资储备到位……景德镇统筹做好疫情防控和安全生产，力争重大项目不停工、重点企业不停产、产业招商不断档。,“疫情期间，我们主动上门摸排企业用工需求，积极开展网络招聘会、直播带岗等活动。实行审批‘不见面’、咨询‘在线答’、特殊需求‘预约办’，全力帮助企业纾困解难。”景德镇高新区企业服务中心主任胡桂珍介绍。,江西省委、省政府全面落实“疫情要防住、经济要稳住、发展要安全”要求，高效统筹疫情防控和经济社会发展，努力完成全年经济社会发展目标任务。,“为帮助企业渡过疫情难关，今年以来，江西省出台降本增效‘30条’、帮助中小企业纾困解难‘28条’、切实稳住经济发展‘43条’等一系列政策措施。积极搭建政企沟通平台，领导干部进园入企‘挂点帮扶’，实现103个开发区以及1.5万家规上工业企业全覆盖。同时，加强监测，及时破解苗头性、倾向性问题。”江西省发改委有关负责人介绍，惠企政策为市场主体送上及时雨，预计全年减负超2000亿元。,江西省确定了有色金属、家具、汽车等14条重点产业链。“受疫情影响，部分链上企业在物流、资金、用工等方面问题较多，我们集中梳理相关问题，多方施策，尤其是针对企业运输受阻问题，采取全天候应急协调保障机制。目前，物流、用工和资金问题办结率分别为99.7%、94.7%、92.1%。”江西省工信厅有关负责人介绍。,近日，南昌市迎来寒潮降温天气，但在赣江复兴大桥抚州大街西岸梁场，施工热度不减，塔吊林立，混凝土搅拌车往来穿梭。项目经理刘治说：“现浇梁施工是关键节点性工程，我们正紧张施工，保障大桥2023年底顺利通车。”为保障项目建设，南昌市加强防疫指导和服务保障，一手抓疫情防控、一手抓生产建设。选派70名企业特派员深入一线，协调解决疫情期间原材料采购、货物运输、人员到岗等事项。,江西坚持“项目为王”理念，持续打好工业、农业、服务业、重大基础设施、新基建、公共服务六大领域“项目大会战”。疫情期间，努力做到“在建项目不停、施工强度不降、开工时间不拖、协调力度不减、项目谋划不断”。目前，全省重点项目和续建项目完成投资均已达到年度计划。今年1—10月，全省亿元以上施工项目9736个，较上年同期增加1299个，亿元以上施工项目完成投资同比增长12.2%。",人民日报,HNT55V45000189FH.html?clickfrom,2022-12-06 09:28:51,江西多措并举——努力做到生产防疫两不误（高效统筹疫情防控和经济社会发展）,https://www.163.com/news/article/HNT55V45000189FH.html?clickfrom=w_yw,https://wap.peopleapp.com/article/6943267/6803589
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：全国秋粮收购累计超七千万吨 收购进度快于去年同期）
                    ,本报北京12月5日电 （记者杜海涛）国家粮食和物资储备局最新发布，秋粮上市以来，秋粮收购各项工作正在全面有序推进。截至11月30日，主产区各类粮食企业累计收购秋粮7035万吨，同比增加537万吨，收购进度明显快于去年同期。,当前，南方处于收购高峰，中晚稻收购进度已近七成；东北、华北正在集中上量，东北地区中晚稻、玉米收购进度分别在四成和两成左右，华北地区玉米收购进度在三成左右。加工企业积极补库，储备企业启动轮换，贸易企业看好后市，市场收购较为活跃，市场化收购数量占比超过95%。,国家粮食和物资储备局相关负责人表示，秋粮收购是全年粮食收购的重中之重，事关种粮农民切身利益，事关粮食安全大局和经济社会发展全局。各级粮食和储备部门及有关企业要进一步提高政治站位，胸怀“国之大者”，以更高标准、更实举措、更严要求，全力抓好秋粮收购工作。,此前，国家粮食和物资储备局专门召开全国秋粮收购工作会议，要求各级粮食和储备部门及有关企业坚持底线思维和问题导向，多措并举、真抓实干，不折不扣落实各项收购政策措施。一要认真开展市场化收购和政策性收购。因地制宜制定收购工作方案和应对预案，引导多元主体积极入市，扩大市场化购销。二要持续优化为农为企服务。统筹疫情防控和秋粮收购等工作，进一步优化收购流程，积极开展预约收购、订单收购，切实提升收购服务水平。加强粮食产后服务和科学储粮指导。三要全力保障市场平稳运行。密切跟踪市场变化，加强形势分析研判，及时发布收购进度、价格等信息；强化政策宣传解读，主动回应社会关切，引导市场主体有序购销。统筹做好粮源组织调度，注重发挥储备吞吐调节作用，保障市场稳定供应。四要切实强化收购监督检查。加大粮食收购检查力度，维护良好市场秩序。压实企业安全生产主体责任，坚决防范粮食储存和安全生产事故发生。",人民日报,HNT4TK9P000189FH.html?clickfrom,2022-12-06 09:24:18,全国秋粮收购累计超七千万吨 收购进度快于去年同期,https://www.163.com/news/article/HNT4TK9P000189FH.html?clickfrom=w_yw,https://wap.peopleapp.com/article/6943290/6803612
"用微信扫码二维码,分享至好友和朋友圈,
                        （原标题：焦点访谈：保护生物多样性 中国在行动）
                    ,
	,
	,
						,
						,
